form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,analysed_phon_form,paradigm_tag,morphanalysis_tag,overabundance_tag,order_tag,source,page,language_id
monsang314,mu,2.pl.3.pl.nfut.neg,m̥ù-màː-tʃ-ʷú,Σmààtʃʷú,Σ m aa ¹ tʃ ʉ ⁵,Σ+màà+tʃ+ʷú,Σ + m aa ¹ + tʃ + ʉ ⁵,,,optional_plural,,Konnerth2025Monsang,nopage,monsang
monsang315,kar,3.sg.nfut.neg,kàr-máʔ,Σmáʔ,Σ m a ⁵ ʔ,Σ+máʔ,Σ + m a ⁵ ʔ,,tone_alt_stem,,,Konnerth2025Monsang,nopage,monsang
monsang316,si,3.sg.nfut.neg,sì-màʔ,Σmàʔ,Σ m a ¹ ʔ,Σ+màʔ,Σ + m a ¹ ʔ,default,,,,Konnerth2025Monsang,nopage,monsang
monsang317,kar,3.pl.nfut.neg,kàr-máː-hé,Σmááhé,Σ m aa ⁵ h e ⁵,Σ+máá+hé,Σ + m aa ⁵ + h e ⁵,,tone_alt_stem,,,Konnerth2025Monsang,nopage,monsang
monsang318,si,3.pl.nfut.neg,sì-màː-hé,Σmààhé,Σ m aa ¹ h e ⁵,Σ+màà+hé,Σ + m aa ¹ + h e ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang319,kʰi:r,3.sg.1.sg.nfut.neg,ì-kʰíːr-máʔ,ìΣmáʔ,i ¹ Σ m a ⁵ ʔ,ì+Σ+máʔ,i ¹ + Σ + m a ⁵ ʔ,default,,,,Konnerth2025Monsang,nopage,monsang
monsang320,kʰi:r,3.sg.1.pl.excl.nfut.neg,ì-kʰíːr-máʔ,ìΣmáʔ,i ¹ Σ m a ⁵ ʔ,ì+Σ+máʔ,i ¹ + Σ + m a ⁵ ʔ,default,,,,Konnerth2025Monsang,nopage,monsang
monsang321,kʰi:r,3.sg.1.pl.incl.nfut.neg,ì-kʰíːr-máʔ,ìΣmáʔ,i ¹ Σ m a ⁵ ʔ,ì+Σ+máʔ,i ¹ + Σ + m a ⁵ ʔ,default,,,,Konnerth2025Monsang,nopage,monsang
monsang322,kʰi:r,3.pl.1.sg.nfut.neg,ì-kʰíːr-máː-hé,ìΣmááhé,i ¹ Σ m aa ⁵ h e ⁵,ì+Σ+máá+hé,i ¹ + Σ + m aa ⁵ + h e ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang323,kʰi:r,3.pl.1.pl.excl.nfut.neg,ì-kʰíːr-máː-hè,ìΣmááhé,i ¹ Σ m aa ⁵ h e ⁵,ì+Σ+máá+hé,i ¹ + Σ + m aa ⁵ + h e ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
